"행정구역별",2023,2023,2023,2023,2023,2023,2023,2023
"행정구역별",합계출산율 (가임여성 1명당 명),모의 연령별출산율:15~19세 (해당연령 여자인구 1천명당 명),20~24세 (해당연령 여자인구 1천명당 명),25~29세 (해당연령 여자인구 1천명당 명),30~34세 (해당연령 여자인구 1천명당 명),35~39세 (해당연령 여자인구 1천명당 명),40~44세 (해당연령 여자인구 1천명당 명),45~49세 (해당연령 여자인구 1천명당 명)
"광주-남구",0.694,0.0,2.5,23.4,64.4,38.7,6.8,0.2
"광주-북구",0.708,0.2,4.3,25.2,65.4,39.1,6.6,0.1
"광산구",0.774,0.3,5.1,26.5,75.8,38.9,6.6,0.0
"대전광역시",0.787,0.6,3.9,24.6,74.8,44.4,7.7,0.2
"대전-동구",0.825,0.4,5.2,26.6,78.7,44.3,7.5,0.4
"대전-중구",0.645,0.2,3.3,21.0,60.4,36.1,5.8,0.0
"대전-서구",0.723,0.6,4.3,21.3,66.8,42.1,8.2,0.2
"유성구",0.895,0.0,2.8,28.7,89.1,49.8,8.1,0.3
"대덕구",0.833,2.4,4.4,28.6,75.0,46.3,8.0,0.2
"울산광역시",0.814,0.4,4.4,31.0,82.7,37.8,5.9,0.1
"울산-중구",0.655,0.2,3.7,24.0,64.6,33.1,5.1,0.1
"울산-남구",0.731,0.1,3.6,24.5,76.7,35.8,4.9,0.2
"울산-동구",0.790,0.3,6.6,30.1,77.0,37.0,5.0,0.2
"울산-북구",0.930,0.2,5.3,42.4,95.3,36.8,6.4,0.1
"울주군",1.005,1.0,4.1,39.0,99.8,47.9,8.4,0.1
"세종특별자치시",0.971,0.3,3.2,36.3,98.3,49.9,7.2,0.1
"세종시",0.971,0.3,3.2,36.3,98.3,49.9,7.2,0.1
"경기도",0.766,0.3,3.8,22.6,71.9,45.4,8.3,0.2
"수원시",0.677,0.1,2.8,17.1,66.7,40.7,7.1,0.3
"장안구",0.598,0.1,2.1,16.4,57.8,35.0,6.0,0.1
"권선구",0.707,0.3,5.2,21.7,67.2,39.1,7.5,0.4
"팔달구",0.636,0.3,2.5,13.9,60.7,40.8,8.4,0.6
"영통구",0.716,0.0,1.4,15.1,74.3,45.1,6.8,0.1
"성남시",0.672,0.2,2.3,13.7,63.1,46.3,7.6,0.4
"수정구",0.657,0.0,4.1,16.9,57.1,44.6,8.0,0.5
"중원구",0.764,0.5,4.3,19.6,66.3,52.2,9.5,0.1
"분당구",0.639,0.2,0.7,9.1,64.7,44.7,6.8,0.4
"의정부시",0.703,0.3,4.7,19.6,64.7,41.3,9.0,0.2
"안양시",0.811,0.2,2.2,17.2,79.5,54.4,8.6,0.3
"만안구",0.839,0.2,2.9,19.5,78.9,55.8,10.2,0.6
"동안구",0.791,0.1,1.6,15.5,79.9,53.4,7.7,0.1
"부천시",0.634,0.3,3.1,17.1,57.2,40.8,7.7,0.1
"광명시",0.793,0.3,2.7,17.4,73.5,55.2,8.7,0.2
"평택시",0.920,0.3,7.4,38.9,83.5,46.0,8.3,0.3
"동두천시",0.661,1.0,6.3,31.7,56.8,29.8,6.1,0.0
"안산시",0.754,0.7,4.7,22.2,72.5,42.2,6.6,0.0
"상록구",0.700,1.1,5.0,21.8,64.0,38.7,7.0,0.1
"단원구",0.809,0.3,4.3,22.7,81.5,45.9,6.1,0.0
"고양시",0.695,0.2,2.4,16.9,61.4,47.0,9.8,0.4
"덕양구",0.781,0.3,2.9,21.3,69.2,50.3,11.8,0.4
"일산동구",0.564,0.1,1.9,11.8,48.6,41.5,7.3,0.3
"일산서구",0.669,0.3,2.3,15.3,59.5,45.9,8.8,0.4
"과천시",1.016,0.0,1.4,16.5,105.6,67.2,12.7,0.0
"구리시",0.680,0.0,2.1,14.8,61.4,46.0,9.9,0.1
"남양주시",0.754,0.2,3.4,24.0,68.4,44.9,7.7,0.1
"오산시",0.690,0.0,5.2,28.8,65.5,32.3,5.6,0.1
"시흥시",0.827,0.7,4.3,29.7,73.5,48.4,8.3,0.2
"군포시",0.808,0.0,2.1,19.1,77.6,53.1,8.4,0.2
"의왕시",0.755,0.3,1.6,16.1,76.7,47.9,8.9,0.0
"하남시",0.788,0.0,3.7,18.5,71.5,52.2,11.5,0.3
"용인시",0.741,0.1,1.8,17.2,72.7,46.4,8.1,0.1
"처인구",0.720,0.2,4.9,26.9,64.4,38.0,7.6,0.2
